date,kg
20150106,75.4
20150112,75
20150113,74.8
20150114,75.2
20150115,75.4
20150116,75.2
20150126,75.2
20150128,74.8
20150129,74.6
20150130,74.4
20150204,74.6
20150210,74.6
20150210,74.8
20150217,74.4
20150224,75.6
20150302,72.5
20150305,75.6
20150315,75.4
20150319,75
20150327,74.2
20150330,73.8
20150401,74
20150531,72.4
20150601,72.5
20150623,71.7
20150624,71.7
20150629,72.4
20150714,72.7
20150722,72.1
20150801,72.9
20150810,74.2
20150817,73.7
20150818,74.5
20150926,74.3
20151005,75.1
20151013,77.4
20151104,75.1
20151114,75.6
20151125,75.7
20151126,75.8
20151128,75.1
20151130,74.1
20151201,74.4
20151201,74.3
20151202,73.9
20151203,74.1
20151204,73.9
20151205,73.7
20151206,74.2
20151206,74.1
20151206,74.4
20151206,74.8
20151206,74
20151206,73.8
20151207,73.3
20151208,73
20151209,73
20151210,72.5
